Name:  ALHA 77155
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77155
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample No. USNM  ALHA 77155.12.
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.chondrite.l6.fine.a77155.ancillary.txt

 3.722	 7.616
 3.719	 7.613
 3.716	 7.613
 3.714	 7.612
 3.711	 7.602
 3.708	 7.599
 3.706	 7.600
 3.703	 7.598
 3.700	 7.589
 3.698	 7.587
 3.695	 7.586
 3.692	 7.575
 3.690	 7.567
 3.687	 7.567
 3.684	 7.564
 3.682	 7.560
 3.679	 7.557
 3.677	 7.553
 3.674	 7.552
 3.671	 7.551
 3.669	 7.545
 3.666	 7.535
 3.664	 7.536
 3.661	 7.545
 3.659	 7.534
 3.656	 7.521
 3.653	 7.523
 3.651	 7.518
 3.648	 7.512
 3.646	 7.515
 3.643	 7.512
 3.641	 7.510
 3.638	 7.511
 3.635	 7.503
 3.633	 7.492
 3.630	 7.494
 3.628	 7.501
 3.625	 7.493
 3.623	 7.481
 3.620	 7.473
 3.618	 7.470
 3.615	 7.467
 3.613	 7.459
 3.610	 7.452
 3.608	 7.452
 3.605	 7.456
 3.603	 7.450
 3.600	 7.446
 3.598	 7.444
 3.595	 7.437
 3.593	 7.423
 3.590	 7.420
 3.588	 7.418
 3.585	 7.406
 3.583	 7.400
 3.580	 7.400
 3.578	 7.399
 3.575	 7.396
 3.573	 7.393
 3.570	 7.384
 3.568	 7.371
