Name: Purple Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500-1500 Micrometer
Sample No.:   qrtzit4.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 378, The Hunt and Salisbury Collection at the U.S. Geological Survey, Denver, Co.
Collection Date: N/A
Description: A schistose sample consisting of medium to coarse-grained recrystallized quartz with some muscovite that often contains ferruginous material.  In addition there are scattered opaques present in this sample.  The modal analyses for this rock are 88.2% quartz, 7.2% muscovite, 3.5% opaques and 1.1% other.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information: jhu.becknic.rock.metamorphic.quartzite.coarse.qrtzit4.ancillary.txt

 3.757	24.872
 3.754	24.790
 3.751	24.694
 3.748	24.590
 3.746	24.501
 3.743	24.438
 3.740	24.437
 3.738	24.464
 3.735	24.518
 3.732	24.580
 3.730	24.643
 3.727	24.735
 3.724	24.854
 3.722	24.976
 3.719	25.130
 3.716	25.312
 3.714	25.488
 3.711	25.660
 3.708	25.838
 3.706	26.019
 3.703	26.229
 3.700	26.476
 3.698	26.727
 3.695	26.970
 3.692	27.203
 3.690	27.465
 3.687	27.766
 3.684	28.061
 3.682	28.334
 3.679	28.601
 3.677	28.895
 3.674	29.166
 3.671	29.388
 3.669	29.578
 3.666	29.783
 3.664	29.991
 3.661	30.147
 3.659	30.272
 3.656	30.428
 3.653	30.567
 3.651	30.665
 3.648	30.733
 3.646	30.808
 3.643	30.882
 3.641	30.940
 3.638	30.978
 3.635	31.017
 3.633	31.044
 3.630	31.075
 3.628	31.086
 3.625	31.121
 3.623	31.150
 3.620	31.170
 3.618	31.192
 3.615	31.215
 3.613	31.242
 3.610	31.278
 3.608	31.293
 3.605	31.316
 3.603	31.361
 3.600	31.410
 3.598	31.467
 3.595	31.506
 3.593	31.545
 3.590	31.607
 3.588	31.663
 3.585	31.718
 3.583	31.811
 3.580	31.894
 3.578	31.958
 3.575	32.026
 3.573	32.096
 3.570	32.200
 3.568	32.313
 3.565	32.400
 3.563	32.475
 3.561	32.544
 3.558	32.631
 3.556	32.738
 3.553	32.839
 3.551	32.883
 3.548	32.952
 3.546	33.044
 3.543	33.115
 3.541	33.165
 3.539	33.228
 3.536	33.318
 3.534	33.353
 3.531	33.357
 3.529	33.405
 3.527	33.427
 3.524	33.416
 3.522	33.419
 3.519	33.422
 3.517	33.403
